block,type,occurence,response_time,accuracy,,block,type,occurence,response_time,accuracy,,block,type,occurence,response_time,accuracy,,,,,,,,,,,,,
1,TrialDigitSpan,1,1.81702757,1,,1,TrialDigitSpan,2,1.399339,1,,1,TrialDigitSpan,3,1.0908861,1,,,,,,,,,,,,,
1,TrialDigitSpan,1,1.29525328,1,,1,TrialDigitSpan,2,1.6237385,1,,1,TrialDigitSpan,3,1.7567494,1,,,,,,,,,,,,,
1,TrialDigitSpan,1,1.63931775,1,,1,TrialDigitSpan,2,1.5946924,1,,1,TrialDigitSpan,3,1.2740061,1,,,,,,,,,,,,,
1,TrialDigitSpan,1,1.23095512,1,,1,TrialDigitSpan,2,1.682631,1,,1,TrialDigitSpan,3,2.0553,1,,,,,,,,,,,,,
1,TrialDigitSpan,1,1.31978273,1,,1,TrialDigitSpan,2,1.3077283,1,,1,TrialDigitSpan,3,2.5180335,1,,,,,,,,,,,,,
1,TrialDigitSpan,1,1.5145076,1,,1,TrialDigitSpan,2,1.860451,1,,1,TrialDigitSpan,3,1.323469,1,,,,,,,,,,,,,
1,TrialDigitSpan,1,1.7497935,1,,1,TrialDigitSpan,2,1.8226857,1,,1,TrialDigitSpan,3,1.55252,1,,,,,,,,,,,,,
1,TrialDigitSpan,1,1.5845876,1,,1,TrialDigitSpan,2,1.1827361,1,,1,TrialDigitSpan,3,1.794552,1,,,,,,,,,,,,,
,,,1.518903144,1,,1,TrialDigitSpan,2,1.806978,1,,,,,1.670689512,1,,,,,,,,,,,,,
,,,,,,,,,1.586775556,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block,type,occurence,response_time,accuracy,,block,type,occurence,response_time,accuracy,,,block,type,occurence,response_time,accuracy,,,,,,,,,,,,
1,TrialSpatialRotation,1,2.6453603,0,,1,TrialSpatialRotation,2,1.9856706,1,,,1,TrialSpatialRotation,3,1.9726496,1,,,,,,,,,,,,
1,TrialSpatialRotation,1,1.5283971,0,,1,TrialSpatialRotation,2,1.5520659,1,,,1,TrialSpatialRotation,3,1.7615516,1,,,,,,,,,,,,
1,TrialSpatialRotation,1,1.8876563,1,,1,TrialSpatialRotation,2,2.2095058,0,,,1,TrialSpatialRotation,3,1.5962994,0,,,,,,,,,,,,
1,TrialSpatialRotation,1,1.8321996,1,,1,TrialSpatialRotation,2,1.9590354,1,,,1,TrialSpatialRotation,3,1.9553352,1,,,,,,,,,,,,
1,TrialSpatialRotation,1,1.6670244,1,,1,TrialSpatialRotation,2,2.0591249,0,,,1,TrialSpatialRotation,3,1.6435406,1,,,,,,,,,,,,
1,TrialSpatialRotation,1,1.7344115,1,,1,TrialSpatialRotation,2,1.914645,0,,,1,TrialSpatialRotation,3,1.9972713,1,,,,,,,,,,,,
1,TrialSpatialRotation,1,2.0078338,1,,1,TrialSpatialRotation,2,1.9878471,0,,,1,TrialSpatialRotation,3,2.0397914,1,,,,,,,,,,,,
1,TrialSpatialRotation,1,1.8469489,1,,,,,1.952556386,0.43,,,1,TrialSpatialRotation,3,2.4545803,0,,,,,,,,,,,,
1,TrialSpatialRotation,1,1.5859399,1,,,,,,,,,1,TrialSpatialRotation,3,1.8522192,1,,,,,,,,,,,,
,,,1.8595302,0.78,,,,,,,,,,,,1.92,0.78,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block,type,occurence,response_time,accuracy,,block,type,occurence,response_time,accuracy,,,block,type,occurence,response_time,accuracy,,block,type,occurence,response_time,accuracy,,,,,,
1,TrialSpatialSpan,1,2.8842244,1,,1,TrialSpatialSpan,2,2.4237564,1,,,1,TrialSpatialSpan,3,1.4620817,1,,1,TrialSpatialSpan,4,1.661429,1,,,,,,
1,TrialSpatialSpan,1,2.6246999,0,,1,TrialSpatialSpan,2,1.9001817,1,,,1,TrialSpatialSpan,3,3,0,,1,TrialSpatialSpan,4,2.085176,1,,,,,,
1,TrialSpatialSpan,1,3,0,,1,TrialSpatialSpan,2,1.6428173,1,,,1,TrialSpatialSpan,3,1.6531549,1,,1,TrialSpatialSpan,4,1.555998,1,,,,,,
1,TrialSpatialSpan,1,3,0,,1,TrialSpatialSpan,2,1.8377797,1,,,1,TrialSpatialSpan,3,2.7653258,1,,1,TrialSpatialSpan,4,2.118395,1,,,,,,
1,TrialSpatialSpan,1,2.4997515,1,,1,TrialSpatialSpan,2,1.2392118,0,,,1,TrialSpatialSpan,3,1.7528556,1,,,,,1.86,1.00,,,,,,
1,TrialSpatialSpan,1,3,0,,1,TrialSpatialSpan,2,2.3911631,1,,,1,TrialSpatialSpan,3,1.5663569,1,,,,,,,,,,,,
1,TrialSpatialSpan,1,1.9588327,1,,1,TrialSpatialSpan,2,1.6212687,1,,,1,TrialSpatialSpan,3,2.4777582,1,,,,,,,,,,,,
,,,2.71,0.43,,1,TrialSpatialSpan,2,2.4543111,1,,,,,,2.10,0.86,,,,,,,,,,,,
,,,,,,,,,1.94,0.88,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block,type,occurence,response_time,accuracy,,block,type,occurence,response_time,accuracy,,,block,type,occurence,response_time,accuracy,,,,,,,,,,,,
2,TrialDigitSpan,1,1.263562,1,,2,TrialDigitSpan,2,2.479899,1,,,2,TrialDigitSpan,3,1.545439,1,,,,,,,,,,,,
2,TrialDigitSpan,1,2.109553,1,,2,TrialDigitSpan,2,2.004278,1,,,2,TrialDigitSpan,3,1.994419,1,,,,,,,,,,,,
2,TrialDigitSpan,1,1.34406,1,,2,TrialDigitSpan,2,1.85431,1,,,2,TrialDigitSpan,3,1.694741,1,,,,,,,,,,,,
2,TrialDigitSpan,1,1.691538,1,,2,TrialDigitSpan,2,2.089436,1,,,2,TrialDigitSpan,3,1.757346,1,,,,,,,,,,,,
2,TrialDigitSpan,1,1.768006,1,,2,TrialDigitSpan,2,2.483494,1,,,2,TrialDigitSpan,3,1.891556,1,,,,,,,,,,,,
2,TrialDigitSpan,1,1.077813,1,,2,TrialDigitSpan,2,1.176407,1,,,2,TrialDigitSpan,3,1.676374,1,,,,,,,,,,,,
,,,,,,2,TrialDigitSpan,2,2.008849,1,,,2,TrialDigitSpan,3,1.042163,1,,,,,,,,,,,,
,,,,,,2,TrialDigitSpan,2,1.154184,1,,,2,TrialDigitSpan,3,1.720685,1,,,,,,,,,,,,
,,,,,,2,TrialDigitSpan,2,1.549891,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block,type,occurence,response_time,accuracy,,block,type,occurence,response_time,accuracy,,,,,,,,,,,,,,,,,,,
2,TrialSpatialRotation,1,2.279996,1,,2,TrialSpatialRotation,2,1.467653,1,,,,,,,,,,,,,,,,,,,
2,TrialSpatialRotation,1,2.684566,0,,2,TrialSpatialRotation,2,2.055768,1,,,,,,,,,,,,,,,,,,,
2,TrialSpatialRotation,1,1.909419,1,,2,TrialSpatialRotation,2,2.27429,1,,,,,,,,,,,,,,,,,,,
2,TrialSpatialRotation,1,2.703407,1,,2,TrialSpatialRotation,2,1.807235,1,,,,,,,,,,,,,,,,,,,
2,TrialSpatialRotation,1,1.939034,1,,2,TrialSpatialRotation,2,1.778024,1,,,,,,,,,,,,,,,,,,,
2,TrialSpatialRotation,1,2.522241,1,,2,TrialSpatialRotation,2,2.196938,1,,,,,,,,,,,,,,,,,,,
2,TrialSpatialRotation,1,2.494725,1,,2,TrialSpatialRotation,2,2.201313,1,,,,,,,,,,,,,,,,,,,
2,TrialSpatialRotation,1,2.333358,1,,2,TrialSpatialRotation,2,2.32269,1,,,,,,,,,,,,,,,,,,,
2,TrialSpatialRotation,1,2.86756,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block,type,occurence,response_time,accuracy,,block,type,occurence,response_time,accuracy,,,block,type,occurence,response_time,accuracy,,block,type,occurence,response_time,accuracy,,block,type,occurence,response_time,accuracy
2,TrialSpatialSpan,1,3,0,,2,TrialSpatialSpan,2,3,0,,,2,TrialSpatialSpan,3,3,0,,2,TrialSpatialSpan,4,2.862081,1,,2,TrialSpatialSpan,5,2.917381,1
2,TrialSpatialSpan,1,1.311781,1,,2,TrialSpatialSpan,2,1.987459,1,,,2,TrialSpatialSpan,3,3,0,,2,TrialSpatialSpan,4,2.151834,0,,2,TrialSpatialSpan,5,1.376107,1
2,TrialSpatialSpan,1,1.209345,1,,2,TrialSpatialSpan,2,3,0,,,2,TrialSpatialSpan,3,1.197469,1,,2,TrialSpatialSpan,4,1.609656,1,,2,TrialSpatialSpan,5,1.959028,1
2,TrialSpatialSpan,1,2.412843,1,,2,TrialSpatialSpan,2,2.111682,1,,,2,TrialSpatialSpan,3,2.441057,1,,2,TrialSpatialSpan,4,2.729945,0,,,,,,
2,TrialSpatialSpan,1,2.413414,1,,2,TrialSpatialSpan,2,2.874927,0,,,2,TrialSpatialSpan,3,1.506999,1,,2,TrialSpatialSpan,4,2.232739,1,,,,,,
,,,,,,2,TrialSpatialSpan,2,1.36342,1,,,2,TrialSpatialSpan,3,2.104678,1,,2,TrialSpatialSpan,4,1.580736,1,,,,,,
,,,,,,2,TrialSpatialSpan,2,2.36601,1,,,2,TrialSpatialSpan,3,2.639566,1,,,,,,,,,,,,
,,,,,,2,TrialSpatialSpan,2,3,0,,,,,,,,,,,,,,,,,,,
,,,,,,2,TrialSpatialSpan,2,1.811726,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block,type,occurence,response_time,accuracy,,block,type,occurence,response_time,accuracy,,,block,type,occurence,response_time,accuracy,,,,,,,,,,,,
3,TrialDigitSpan,1,1.818062,1,,3,TrialDigitSpan,2,2.075667,1,,,3,TrialDigitSpan,3,1.708804,1,,,,,,,,,,,,
3,TrialDigitSpan,1,1.088542,1,,3,TrialDigitSpan,2,1.803171,1,,,3,TrialDigitSpan,3,1.363854,1,,,,,,,,,,,,
3,TrialDigitSpan,1,1.125605,1,,3,TrialDigitSpan,2,1.417734,1,,,3,TrialDigitSpan,3,1.533378,1,,,,,,,,,,,,
3,TrialDigitSpan,1,1.684629,1,,3,TrialDigitSpan,2,1.294828,1,,,3,TrialDigitSpan,3,1.320954,1,,,,,,,,,,,,
3,TrialDigitSpan,1,1.69435,1,,3,TrialDigitSpan,2,1.737946,1,,,3,TrialDigitSpan,3,1.136964,1,,,,,,,,,,,,
3,TrialDigitSpan,1,0.983391,1,,3,TrialDigitSpan,2,1.920949,1,,,3,TrialDigitSpan,3,1.099272,1,,,,,,,,,,,,
3,TrialDigitSpan,1,1.677014,1,,3,TrialDigitSpan,2,2.03262,1,,,3,TrialDigitSpan,3,0.863593,1,,,,,,,,,,,,
,,,,,,3,TrialDigitSpan,2,1.879008,1,,,,,,,,,,,,,,,,,,,
,,,,,,3,TrialDigitSpan,2,1.65365,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block,type,occurence,response_time,accuracy,,block,type,occurence,response_time,accuracy,,,block,type,occurence,response_time,accuracy,,block,type,occurence,response_time,accuracy,,,,,,
3,TrialSpatialRotation,1,3,0,,3,TrialSpatialRotation,2,2.407895,1,,,3,TrialSpatialRotation,3,2.18608,1,,3,TrialSpatialRotation,4,1.75821,1,,,,,,
3,TrialSpatialRotation,1,1.907718,1,,3,TrialSpatialRotation,2,2.865109,0,,,3,TrialSpatialRotation,3,1.872758,1,,3,TrialSpatialRotation,4,2.427081,1,,,,,,
3,TrialSpatialRotation,1,1.491438,1,,3,TrialSpatialRotation,2,2.950505,1,,,3,TrialSpatialRotation,3,1.569635,1,,3,TrialSpatialRotation,4,2.14936,0,,,,,,
3,TrialSpatialRotation,1,1.594112,1,,3,TrialSpatialRotation,2,2.859142,0,,,3,TrialSpatialRotation,3,2.239239,1,,,,,,,,,,,,
3,TrialSpatialRotation,1,1.920169,1,,3,TrialSpatialRotation,2,1.716693,1,,,3,TrialSpatialRotation,3,2.673687,1,,,,,,,,,,,,
3,TrialSpatialRotation,1,2.098602,1,,3,TrialSpatialRotation,2,1.691534,1,,,3,TrialSpatialRotation,3,3,0,,,,,,,,,,,,
,,,,,,,,,,,,,3,TrialSpatialRotation,3,1.899418,1,,,,,,,,,,,,
,,,,,,,,,,,,,3,TrialSpatialRotation,3,1.111324,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block,type,occurence,response_time,accuracy,,block,type,occurence,response_time,accuracy,,,block,type,occurence,response_time,accuracy,,,,,,,,,,,,
3,TrialSpatialSpan,1,2.045934,0,,3,TrialSpatialSpan,2,2.160179,0,,,3,TrialSpatialSpan,3,2.332688,1,,,,,,,,,,,,
3,TrialSpatialSpan,1,2.806711,1,,3,TrialSpatialSpan,2,2.072219,1,,,3,TrialSpatialSpan,3,2.677298,1,,,,,,,,,,,,
3,TrialSpatialSpan,1,1.900864,1,,3,TrialSpatialSpan,2,1.414311,1,,,3,TrialSpatialSpan,3,2.089156,1,,,,,,,,,,,,
3,TrialSpatialSpan,1,1.700851,1,,3,TrialSpatialSpan,2,1.920129,1,,,3,TrialSpatialSpan,3,2.764156,1,,,,,,,,,,,,
,,,,,,3,TrialSpatialSpan,2,3,0,,,3,TrialSpatialSpan,3,2.163525,1,,,,,,,,,,,,
,,,,,,3,TrialSpatialSpan,2,1.756233,1,,,3,TrialSpatialSpan,3,0.978719,1,,,,,,,,,,,,
,,,,,,,,,,,,,3,TrialSpatialSpan,3,2.098697,1,,,,,,,,,,,,
,,,,,,,,,,,,,3,TrialSpatialSpan,3,3,0,,,,,,,,,,,,
,,,,,,,,,,,,,3,TrialSpatialSpan,3,2.33998,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block,type,occurence,response_time,accuracy,,block,type,occurence,response_time,accuracy,,,block,type,occurence,response_time,accuracy,,block,type,occurence,response_time,accuracy,,,,,,
4,TrialDigitSpan,1,0.877663,1,,4,TrialDigitSpan,2,1.527901,1,,,4,TrialDigitSpan,3,0.947666,1,,4,TrialDigitSpan,4,0.917447,1,,,,,,
4,TrialDigitSpan,1,1.754938,1,,4,TrialDigitSpan,2,0.925224,1,,,4,TrialDigitSpan,3,1.568452,1,,4,TrialDigitSpan,4,0.908663,1,,,,,,
4,TrialDigitSpan,1,1.575729,1,,4,TrialDigitSpan,2,1.398205,1,,,4,TrialDigitSpan,3,1.545791,1,,4,TrialDigitSpan,4,1.257894,1,,,,,,
4,TrialDigitSpan,1,2.148901,1,,4,TrialDigitSpan,2,1.261857,1,,,4,TrialDigitSpan,3,1.836843,1,,,,,,,,,,,,
4,TrialDigitSpan,1,1.203969,1,,4,TrialDigitSpan,2,1.625503,1,,,4,TrialDigitSpan,3,0.944326,1,,,,,,,,,,,,
4,TrialDigitSpan,1,0.869465,1,,4,TrialDigitSpan,2,1.932874,1,,,4,TrialDigitSpan,3,1.469572,1,,,,,,,,,,,,
4,TrialDigitSpan,1,1.759049,1,,4,TrialDigitSpan,2,1.64304,1,,,,,,,,,,,,,,,,,,,
4,TrialDigitSpan,1,1.911396,1,,4,TrialDigitSpan,2,1.471617,1,,,,,,,,,,,,,,,,,,,
,,,,,,4,TrialDigitSpan,2,1.075244,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block,type,occurence,response_time,accuracy,,block,type,occurence,response_time,accuracy,,,block,type,occurence,response_time,accuracy,,block,type,occurence,response_time,accuracy,,,,,,
4,TrialSpatialRotation,1,1.385243,1,,4,TrialSpatialRotation,2,2.808232,1,,,4,TrialSpatialRotation,3,1.793364,1,,4,TrialSpatialRotation,4,2.558466,1,,,,,,
4,TrialSpatialRotation,1,2.927704,0,,4,TrialSpatialRotation,2,2.027152,1,,,4,TrialSpatialRotation,3,1.534032,1,,4,TrialSpatialRotation,4,2.478861,1,,,,,,
4,TrialSpatialRotation,1,2.702074,1,,4,TrialSpatialRotation,2,1.950662,1,,,4,TrialSpatialRotation,3,2.473673,1,,4,TrialSpatialRotation,4,2.832944,1,,,,,,
,,,,,,4,TrialSpatialRotation,2,3,0,,,4,TrialSpatialRotation,3,1.952382,1,,4,TrialSpatialRotation,4,1.608349,1,,,,,,
,,,,,,4,TrialSpatialRotation,2,1.891002,1,,,4,TrialSpatialRotation,3,1.872416,1,,4,TrialSpatialRotation,4,2.146811,1,,,,,,
,,,,,,4,TrialSpatialRotation,2,2.19898,1,,,4,TrialSpatialRotation,3,1.240192,1,,4,TrialSpatialRotation,4,2.749069,1,,,,,,
,,,,,,4,TrialSpatialRotation,2,3,0,,,4,TrialSpatialRotation,3,1.88116,0,,4,TrialSpatialRotation,4,2.213552,1,,,,,,
,,,,,,4,TrialSpatialRotation,2,2.06685,1,,,,,,,,,4,TrialSpatialRotation,4,2.482192,1,,,,,,
,,,,,,4,TrialSpatialRotation,2,1.884715,1,,,,,,,,,4,TrialSpatialRotation,4,2.217919,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block,type,occurence,response_time,accuracy,,block,type,occurence,response_time,accuracy,,,,,,,,,,,,,,,,,,,
4,TrialSpatialSpan,1,1.998745,1,,4,TrialSpatialSpan,2,2.368109,1,,,,,,,,,,,,,,,,,,,
4,TrialSpatialSpan,1,2.405224,0,,4,TrialSpatialSpan,2,2.56315,0,,,,,,,,,,,,,,,,,,,
4,TrialSpatialSpan,1,2.22413,1,,4,TrialSpatialSpan,2,1.656934,1,,,,,,,,,,,,,,,,,,,
4,TrialSpatialSpan,1,1.624321,1,,4,TrialSpatialSpan,2,2.555569,1,,,,,,,,,,,,,,,,,,,
4,TrialSpatialSpan,1,1.975971,1,,4,TrialSpatialSpan,2,1.431593,1,,,,,,,,,,,,,,,,,,,
4,TrialSpatialSpan,1,1.538437,1,,4,TrialSpatialSpan,2,1.861764,1,,,,,,,,,,,,,,,,,,,
4,TrialSpatialSpan,1,1.370488,1,,4,TrialSpatialSpan,2,1.465226,1,,,,,,,,,,,,,,,,,,,
